Summer[differentiated_days],Autumn[differentiated_days],Winter[differentiated_days],Spring[differentiated_days],Summer[semi-differentiated_days],Autumn[semi-differentiated_days],Winter[semi-differentiated_days],Spring[semi-differentiated_days],Summer[undifferentiated_days],Autumn[undifferentiated_days],Winter[undifferentiated_days],Spring[undifferentiated_days]
0.0,0.0,0.0,0.0,0.0,6.2675,0.0,7.625,0.0,7.59,0.0,7.9399999999999995
7.1000000000000005,0.0,0.0,0.0,8.4125,6.2675,0.0,7.625,6.916666666666666,7.59,0.0,7.9399999999999995
7.1000000000000005,0.0,0.0,0.0,8.4125,6.2675,0.0,7.625,6.916666666666666,7.59,0.0,7.9399999999999995
7.1000000000000005,0.0,0.0,0.0,8.4125,6.2675,0.0,7.625,6.916666666666666,7.59,0.0,7.9399999999999995
7.1,0.0,0.0,0.0,8.4125,6.2675,0.0,7.625,6.916666666666666,7.59,0.0,7.9399999999999995
0.0,0.0,0.0,0.0,6.649999999999999,3.962499999999997,0.0,7.625,6.916666666666666,2.649999999999995,0.0,7.9399999999999995
0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.625,5.716666666666667,0.0,0.0,7.9399999999999995
0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.625,0.0,0.0,0.0,7.9399999999999995
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6000000000000085,0.0,0.0,0.0,3.0800000000000125
0.0,0.0,0.0,0.0,0.0,0.0,6.42,0.0,0.0,0.0,6.630000000000001,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6.42,0.0,0.0,0.0,6.630000000000001,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6.42,0.0,0.0,0.0,6.630000000000001,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6.42,0.0,0.0,0.0,6.630000000000001,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6.42,0.0,0.0,0.0,6.630000000000001,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.100000000000003,0.0,0.0,0.0,6.630000000000001,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.630000000000001,0.0
0.0,0.0,0.0,13.320000000000002,0.0,0.0,0.0,0.0,0.0,0.0,3.0900000000000016,0.0
